2020-07-21 00:01:25.489  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcountbet500ifable created bet with !bet yellow 200
2020-07-21 00:01:25.490  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcountbet1000ifable: The leftScore is 2.0 and the rightScore is 8.0
2020-07-21 00:01:25.490  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcountbet1000ifable created bet with !bet yellow 200
2020-07-21 00:01:25.504  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot datadrivenbot: The leftScore is 229.3601 and the rightScore is 9511.305
2020-07-21 00:01:25.504  WARN 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : The bot datadrivenbot provided a bet under the minimum value
2020-07-21 00:01:25.504  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot datadrivenbot created bet with !bet yellow 200
2020-07-21 00:01:25.505  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot oddsbot: The leftScore is 428.0 and the rightScore is 7728.0
2020-07-21 00:01:25.505  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot oddsbot created bet with !bet yellow 200
2020-07-21 00:01:25.505  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 0
2020-07-21 00:01:25.505  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot allinrandombot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.505  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot allinrandombot created bet with !allin green
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 0
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot randomrandombot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot randomrandombot created bet with !bet green 200
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] f.botland.bot.ArbitraryBot               : next index is: 0
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot halfrandombot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.506  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot halfrandombot created bet with !bet green 200
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot leftminimumbot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot leftminimumbot created bet with !betf green
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot lefthalfbot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot lefthalfbot created bet with !bet green 200
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot leftallinbot: The leftScore is 1.0 and the rightScore is 0.0
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot leftallinbot created bet with !allin green
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot rightminimumbot: The leftScore is 0.0 and the rightScore is 1.0
2020-07-21 00:01:25.507  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot rightminimumbot created bet with !betf yellow
2020-07-21 00:01:25.508  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot righthalfbot: The leftScore is 0.0 and the rightScore is 1.0
2020-07-21 00:01:25.508  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot righthalfbot created bet with !bet yellow 200
2020-07-21 00:01:25.508  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot rightallinbot: The leftScore is 0.0 and the rightScore is 1.0
2020-07-21 00:01:25.508  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot rightallinbot created bet with !allin yellow
2020-07-21 00:06:16.952  INFO 19072 --- [ntManagerThread] fft_battleground.botland.BetBotFactory   : primary bot is minbetbot
2020-07-21 00:06:49.953  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot minbetbot: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.953  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Betting Enabled is false for this server
2020-07-21 00:06:49.956  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot minbetbot: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.956  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot minbetbot created bet with !betf white
2020-07-21 00:06:49.956  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot allinbetcountbot: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.956  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot allinbetcountbot created bet with !allin white
2020-07-21 00:06:49.957  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount40percent: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.957  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount40percent created bet with !bet 40% white
2020-07-21 00:06:49.957  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount62percent: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.957  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount62percent created bet with !bet 62% white
2020-07-21 00:06:49.959  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount10increment: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.959  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount10increment created bet with !bet white 200
2020-07-21 00:06:49.960  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount20increment: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.961  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount20increment created bet with !bet white 200
2020-07-21 00:06:49.962  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount50increment: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.963  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount50increment created bet with !bet white 200
2020-07-21 00:06:49.964  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount75increment: The leftScore is 4.0 and the rightScore is 2.0
2020-07-21 00:06:49.964  INFO 19072 --- [        Timer-3] fft_battleground.botland.BotLand         : Subordinate bot betcount75increment created bet with !bet white 200
2020-07-21 00:06:49.966  INFO 19072 --- [        Timer-3] fft_battleground.botland.BetterBetBot    : Bot betcount100increment: The leftScore is 4.0 and the rightScore is 2.0
